sample	unit	fq1	fq2
2x_vt_sup_h47	SRR3994197	SRR3994197_1.fastq.gz	SRR3994197_2.fastq.gz
2x_vt_sup_h47	SRR3994196	SRR3994196_1.fastq.gz	SRR3994196_2.fastq.gz
2x_vt_sup_h47	SRR3994310	SRR3994310_1.fastq.gz	SRR3994310_2.fastq.gz
2x_vt_sup_h47	SRR3994457	SRR3994457_1.fastq.gz	SRR3994457_2.fastq.gz
2x_vt_sup_h47	SRR3994569	SRR3994569_1.fastq.gz	SRR3994569_2.fastq.gz
2x_vt_sup_h47	SRR3994708	SRR3994708_1.fastq.gz	SRR3994708_2.fastq.gz
2x_vt_sup_h47	SRR3995206	SRR3995206_1.fastq.gz	SRR3995206_2.fastq.gz
2x_vt_sup_h47	SRR3995207	SRR3995207_1.fastq.gz	SRR3995207_2.fastq.gz
2x_vt_sup_h47	SRR3995208	SRR3995208_1.fastq.gz	SRR3995208_2.fastq.gz
2x_vt_sup_h47	SRR3995209	SRR3995209_1.fastq.gz	SRR3995209_2.fastq.gz
2x_vt_sup_h47	SRR3995210	SRR3995210_1.fastq.gz	SRR3995210_2.fastq.gz
2x_vt_sup_h47	SRR3995211	SRR3995211_1.fastq.gz	SRR3995211_2.fastq.gz
2x_IVP101	SRR6123183	SRR6123183_1.fastq.gz	SRR6123183_2.fastq.gz
4x_superior	SRR2069940	SRR2069940_1.fastq.gz	SRR2069940_2.fastq.gz
4x_superior	SRR2069941	SRR2069941_1.fastq.gz	SRR2069941_2.fastq.gz
4x_superior	SRR2069942	SRR2069942_1.fastq.gz	SRR2069942_2.fastq.gz
4x_superior	SRR2070067	SRR2070067_1.fastq.gz	SRR2070067_2.fastq.gz
